"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"HRZManta/726911277379431_850892990410718";"960";"869";"1";"726911277379431_850892990410718";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-01T22:33:38+0000";"";"";""
"HRZManta/726911277379431_850892990410718/726911277379431_850892990410718";"1170";"960";"2";"726911277379431_850892990410718";"empty";"";"fetched (200)";"2024-06-08 21:23:49.504050";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_850892990410718/726911277379431_850892990410718";"1171";"960";"2";"726911277379431_850892990410718";"offcut";"";"fetched (200)";"2024-06-08 21:23:49.504050";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_850892900410727";"961";"869";"1";"726911277379431_850892900410727";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-01T22:33:24+0000";"";"";""
"HRZManta/726911277379431_850892900410727/726911277379431_850892900410727";"1172";"961";"2";"726911277379431_850892900410727";"empty";"";"fetched (200)";"2024-06-08 21:23:49.842010";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_850892900410727/726911277379431_850892900410727";"1173";"961";"2";"726911277379431_850892900410727";"offcut";"";"fetched (200)";"2024-06-08 21:23:49.842010";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_850142210485796";"962";"869";"1";"726911277379431_850142210485796";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"Un nuevo encuentro de nuestro Club de Adultos Mayores se llevó a cabo, donde sus integrantes pudieron vivir una interesante actividad artística y educativa 🏥👵🏻👴🏻  Se trató de un taller de pintura en óleo 🎨🖼️ que les permitió sacar lo mejor de su creatividad, recrearse y además recibir importante información para su salud mental y su cuidado en general.   En el encuentro participaron nuestros directivos liderados por el doctor Hayro Daza Vera, quien reiteró el apoyo de la actual administración, en el desarrollo de estos espacios para el beneficio de nuestros pacientes y usuarios en general 🙋🏻‍♂️🙋🏻‍♀️💯  #ElNuevoEcuador  #HRZMejorPorTi   Ministerio de Salud Pública Coordinación Zonal 4 - Salud";"2024-04-30T19:11:24+0000";"";"";""
"HRZManta/726911277379431_850142210485796/726911277379431_850142210485796";"1174";"962";"2";"726911277379431_850142210485796";"data";"data.*";"fetched (200)";"2024-06-08 21:23:50.199658";"Facebook:/<post-id>/comments";"Con el apoyo de Geriatría ❤️";"2024-05-01T23:37:15+0000";"0";"0";""
"HRZManta/726911277379431_850142210485796/726911277379431_850142210485796";"1175";"962";"2";"726911277379431_850142210485796";"offcut";"";"fetched (200)";"2024-06-08 21:23:50.199658";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_849502303883120";"963";"869";"1";"726911277379431_849502303883120";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"Continúa el fortalecimiento de nuestros servicios hospitalarios 🏥💯 con el abastecimiento progresivo de insumos y reactivos para el laboratorio clínico🧪🧫 lo que ha permitido superar el 70% de su oferta de análisis 🔬🧬correspondientes al segundo  nivel de atención.   Nuestros Directivos liderados por el doctor Hayro Daza Vera, constatan la operatividad de los servicios y la llegada del cargamento de materiales para mantener activo este servicio que es primordial en la atención integral de nuestros pacientes.   “Nos alegra evidenciar los resultados de esta gestión administrativa, que está empeñada en mantener operativos de manera permanente todos los servicios hospitalarios y así cubrir la necesidad de nuestros pacientes” afirmó el Gerente.   #ElNuevoEcuador #HRZMejorPorTi  Ministerio de Salud Pública Coordinación Zonal 4 - Salud";"2024-04-29T20:13:23+0000";"";"";""
